alias,substance,kind,species,basis,note
살구씨,벚나무속 과일 씨,추정,,F-029-017,⚠ 추정이다 — 살구(Prunus armeniaca)가 벚나무속인 것은 분류학적 사실이나 코퍼스 목록(체리·천도복숭아·복숭아·자두)에 살구는 없다. 1차 표는 '핵과 씨앗'(조류 자료뿐)에 전 종으로 걸어 두었다
살구 씨,벚나무속 과일 씨,추정,,F-029-017,위와 같다. 다른 표기 — ⚠ 추정
살구씨앗,벚나무속 과일 씨,추정,,F-029-017,위와 같다. 다른 표기 — ⚠ 추정
살구 씨앗,벚나무속 과일 씨,추정,,F-029-017,위와 같다. 다른 표기 — ⚠ 추정
아로마 오일,에센셜 오일,확정,bird,F-078-007|F-093-002,코퍼스가 '에센셜 오일(티트리·유칼립투스·페퍼민트·시트러스)'로 적는다. 자료가 전부 조류다
아로마오일,에센셜 오일,확정,bird,F-078-007|F-093-002,코퍼스가 '에센셜 오일(티트리·유칼립투스·페퍼민트·시트러스)'로 적는다. 자료가 전부 조류다
디퓨저,에센셜 오일,추정,bird,F-078-007|F-093-002,⚠ 추정이다 — 수성 방향제도 있다. D-59 ④ 확인 절차를 탄다
다진마늘,마늘,확정,dog|cat,F-098-003,다진 마늘은 마늘이다. 조리·가공 형태가 달라도 알리신 전구체는 같다 — 골든셋 G-040 이 실패하던 표기 변형이다 (D-60 앞-한글 규칙에 걸린다)
다크초콜릿,세미스위트 다크 초콜릿,확정,dog,F-034-024,붙여 쓴 표기다. 어휘표는 '세미스위트 다크 초콜릿'으로 적는다 — 테오브로민 5 mg/g 이므로 밀크와 등급이 갈린다. 골든셋 G-001·G-030
밀크초콜릿,밀크 초콜릿,확정,dog,F-034-025,위와 같다. 테오브로민 2 mg/g. 골든셋 G-028·G-029
화이트초콜릿,화이트 초콜릿,확정,dog,F-034-026,위와 같다. 원문이 '테오브로민 급원으로는 무의미한 수준'이라 정량 판정을 하지 않는다. 골든셋 G-041
베이킹초콜릿,무가당 베이킹 초콜릿·코코아 파우더,확정,dog,F-034-023,위와 같다. 테오브로민 >14 mg/g 로 가장 높다
코코아파우더,무가당 베이킹 초콜릿·코코아 파우더,확정,dog,F-034-023,위와 같다
