substance,species,triage_level,signs,fact_ids,source_ids
부러진 혈우(blood feather) 출혈,bird,1,깃대(feather stump)를 제거하지 못함|압박·지혈분말로도 출혈이 멎지 않음|출혈량이 많음,F-092-003,S-092
빛·그림자 쫓기·응시,dog,2,반복 행동이 매일 나타나거나 악화될 때|수면·식욕·산책·훈련·휴식을 방해할 때|자해(출혈·부종·분비물·개방창)가 있을 때|천·돌·플라스틱 등 이물을 삼켰을 때|허탈·심한 혼돈·발작 유사 증상이 동반될 때|강박 행동 때문에 먹거나 마시거나 쉬지 못할 때,F-080-006,S-080
서성임·원 그리며 걷기·울타리 달리기,dog,2,반복 행동이 매일 나타나거나 악화될 때|수면·식욕·산책·훈련·휴식을 방해할 때|자해(출혈·부종·분비물·개방창)가 있을 때|천·돌·플라스틱 등 이물을 삼켰을 때|허탈·심한 혼돈·발작 유사 증상이 동반될 때|강박 행동 때문에 먹거나 마시거나 쉬지 못할 때,F-080-004,S-080
수국,cat,3,위통|구토,F-095-010,S-095
수국,dog,3,구토|설사|침울,F-096-006,S-096
수선화,cat,3,구토|설사|복통|식욕부진|전신 경련|심박 이상,F-095-001,S-095
수선화,dog,3,구토|설사|유연(침흘림)|경련|저혈압|떨림|부정맥,F-096-003,S-096
수의학적 처치가 필요한 경우,all,3,수의학적 처치가 필요하다고 판단되는 경우,F-027-006,S-027
아보카도(퍼신),bird,3,,F-007-001,S-007
아연(zinc) 중독,bird,3,무기력|쇠약|설사|구토(토출)|음수량 증가,F-071-002,S-071
아이비(헤데라),cat,3,구강 불편감|구토|설사|복통,F-095-011,S-095
아이비(헤데라),dog,3,복통|설사|구토|과다 유연(침흘림),F-096-010,S-096
알로에,cat,3,설사|구토|유연(침흘림)|발열,F-095-008,S-095
알로에,dog,3,구토|설사|소변 색 변화,F-096-004,S-096
알코올(주류·알코올 함유 식품),mammal,3,구토|설사|운동실조|침울|호흡곤란|떨림|혈중 pH 변화|혼수|사망|알코올에 노출된 정황이 있는 경우,F-023-001,S-023
앞발·다리 강박 핥기·씹기,dog,2,지단부 핥음 피부염(통증성 감염 궤양)|반복 행동이 매일 나타나거나 악화될 때|수면·식욕·산책·훈련·휴식을 방해할 때|자해(출혈·부종·분비물·개방창)가 있을 때|천·돌·플라스틱 등 이물을 삼켰을 때|허탈·심한 혼돈·발작 유사 증상이 동반될 때|강박 행동 때문에 먹거나 마시거나 쉬지 못할 때,F-080-002,S-080
양파(리크·차이브 포함),dog,3,구토|설사|복통|메스꺼움,F-064-014,S-064
에틸렌글리콜(부동액),cat,4,섭취 후 3시간 이내(고양이 치료 개시 시한),F-084-001,S-084
에틸렌글리콜(부동액),dog,4,섭취 후 6시간 이내(개 치료 개시 시한),F-084-002,S-084
옆구리·천 빨기,dog,2,반복 행동이 매일 나타나거나 악화될 때|수면·식욕·산책·훈련·휴식을 방해할 때|자해(출혈·부종·분비물·개방창)가 있을 때|천·돌·플라스틱 등 이물을 삼켰을 때|허탈·심한 혼돈·발작 유사 증상이 동반될 때|강박 행동 때문에 먹거나 마시거나 쉬지 못할 때,F-080-008,S-080
위험물 섭취 의심,all,3,위험할 수 있는 것을 먹었다고 의심되는 경우,F-029-022,S-029
유독 가스·연기 노출,bird,4,호흡곤란 징후가 보임,F-092-009,S-092
유해물질 섭취 의심,all,3,유해할 수 있는 것을 먹었다고 의심되는 경우,F-030-004,S-030
응급 여부를 판단하기 어려운 경우,mammal,3,어떤 이유로든 반려동물의 건강이 걱정되는 경우,F-037-011,S-037
의식소실,all,4,의식이 없음|반려동물이 의식을 잃은 경우,F-030-001,S-030
임의 구토 유발(금지),all,3,,F-027-004,S-027
중독 의심 시 대응(독성물질 섭취),cat,3,구토|설사|발작|혈변·혈뇨|무기력|식욕 부진|멍(피하출혈)|코피|불규칙한 심박|배뇨 곤란|호흡곤란,F-010-001,S-010
중독 의심 시 응급 대응(자가 구토 유도 금지),dog,3,개를 원인 물질에서 즉시 떼어놓기|먹은 것·양·시각 확인하고 포장 보관|임의로 구토를 유도하지 말 것|수의사·응급병원 또는 Pet Poison Helpline (855)-764-7661 에 즉시 연락|수의사 승인 없이 사람 약을 주지 말 것,F-021-012,S-021
중독 의심 시 중독관리센터 연락,all,3,중독이 의심되는 즉시,F-027-005,S-027
지속적 구토·설사,mammal,3,반복적인 구토|중증 설사|혈변|짧은 시간에 여러 번 구토|혈액 등 다른 징후 동반,F-037-002,S-037
지속적인 호흡곤란,mammal,4,지속적인 호흡 곤란,F-038-001,S-038
진달래·철쭉류(아잘레아),cat,3,구강 자극|구토|설사,F-095-004,S-095
진달래·철쭉류(아잘레아),dog,3,구토|설사|무력감|심부전,F-096-005,S-096
창백하거나 변색된 잇몸,mammal,4,잇몸이 파랗거나 회색·흰색·보라색으로 변함,F-037-008,S-037
체리,dog,3,동공 확대|호흡곤란|잇몸 발적,F-064-012,S-064
출혈·외상,mammal,4,눈에 보이는 출혈|차에 치임|높은 곳에서 떨어짐,F-037-005,S-037
카네이션,dog,3,위장관 불편감|피부염,F-096-008,S-096
칼랑코에,bird,3,,F-071-009,S-071
크라운 베치,bird,3,,F-071-007,S-071
테플론 중독 의심 시 응급 조치,bird,3,호흡곤란 징후가 보임|테플론 노출이 의심됨,F-074-003,S-074
튤립,cat,3,침울|설사|구토|구역질,F-095-007,S-095
튤립,dog,3,과다 유연(침흘림)|구토|설사|침울|전신 경련|심박 이상,F-096-001,S-096
포도·건포도,dog,3,,F-064-013,S-064
포인세티아,cat,3,유연(침흘림)|구토|설사|복통,F-095-012,S-095
포인세티아,dog,3,구역질|구토|유연(침흘림)|설사,F-096-009,S-096
표면 강박 핥기,dog,2,반복 행동이 매일 나타나거나 악화될 때|수면·식욕·산책·훈련·휴식을 방해할 때|자해(출혈·부종·분비물·개방창)가 있을 때|천·돌·플라스틱 등 이물을 삼켰을 때|허탈·심한 혼돈·발작 유사 증상이 동반될 때|강박 행동 때문에 먹거나 마시거나 쉬지 못할 때,F-080-007,S-080
허공 물기(파리 물기),dog,2,반복 행동이 매일 나타나거나 악화될 때|수면·식욕·산책·훈련·휴식을 방해할 때|자해(출혈·부종·분비물·개방창)가 있을 때|천·돌·플라스틱 등 이물을 삼켰을 때|허탈·심한 혼돈·발작 유사 증상이 동반될 때|강박 행동 때문에 먹거나 마시거나 쉬지 못할 때,F-080-005,S-080
호흡곤란,all,4,숨쉬기 어려움|반려동물이 호흡을 어려워하는 경우,F-030-003,S-030
화상,bird,2,,F-092-005,S-092
히아신스,cat,3,위경련|구토|설사,F-095-009,S-095
