fact_id,source_id,publisher,doc_type,species,substance,scientific_name,toxic_part,threshold_type,dose,unit,max_value,basis,life_stage,feeding_level,triage_level,effect,signs,onset,escalation_conditions,quote,locator,accessed_at,citation,extracted_by,note
F-005-001,S-005,Lafeber Vet,toxicity_food,bird,초콜릿(테오브로민·카페인),,,,,,,,,NEVER,,사망 가능,과다행동|심박수 증가|떨림|발작,,,,"""List #1: Do NOT Feed Your Bird…"" 절",2026-07-31,"Cole G, Murray M. Suspected chocolate toxicosis in an African grey parrot. Proc Assoc Avian Vet 2005; Gartrell BD, Reid C. N Z Vet J 55(3):149-151, 2007",ohb,원문 'ingested at a toxic dose' 라는 표현만 있고 수치 없음 — dose·threshold_type 공란. 원문: 다크·쓴맛일수록 독성이 강함. citation 은 원문 말미 References 목록에서 대응 추정 — 본문 내 인라인 인용은 아님. 팀장 확인.
F-005-002,S-005,Lafeber Vet,toxicity_food,bird,아보카도(퍼신),,전체(식물 전 부위),,,,,,,NEVER,,심장 독성,호흡곤란,12시간,,,"""List #1: Do NOT Feed Your Bird…"" 절",2026-07-31,"Hargis AM, Stauber E, Casteel S, Eitner D. J Am Vet Med Assoc 194(1):64-66, 1989; Burger WP, et al. J S Afr Vet Assoc 65(3):113-118, 1994",ohb,원문: 섭취 후 1~2일 이내 사망 가능. 카나리아·버지(잉꼬) 등 소형조류가 더 민감하나 타조 등 타 종에서도 임상징후 보고. 학명 Persea americana 는 본문이 아닌 참고문헌에만 등장하여 scientific_name 공란. citation 은 원문 말미 References 목록에서 대응 추정 — 본문 내 인라인 인용은 아님. 팀장 확인.
F-005-003,S-005,Lafeber Vet,toxicity_food,bird,양파·마늘(Allium),,,,,,,,,NEVER,,치명적 중독,,,,,"""List #1: Do NOT Feed Your Bird…"" 절",2026-07-31,"Crespo R, Chin RP. J Vet Diagn Invest 16(4):321-325, 2004; Wade LL, Newman SJ. J Avian Med Surg 18(3):155-161, 2004",ohb,"원문: 마늘가루·양파수프믹스 등 농축 형태가 생채소보다 강함. 대파를 다량 급여한 거위, 마늘을 다량 급여한 코뉴어에서 치사 독성 보고 — '다량'이라고만 하고 수치 없음. 개·고양이 독성 지식에서 차용된 정보라고 원문이 명시. citation 은 원문 말미 References 목록에서 대응 추정 — 본문 내 인라인 인용은 아님. 팀장 확인."
F-005-004,S-005,Lafeber Vet,toxicity_food,bird,컴프리(comfrey),,,,,,,,,NEVER,,간 손상,,,,,"""List #1: Do NOT Feed Your Bird…"" 절",2026-07-31,"Stickel F, Setiz HK. Public Health Nutr 3(4A):501-508, 2000",ohb,원문 근거는 사람 의학 연구 — 조류 직접 근거 아님. 일부 카나리아 브리더가 사용한다고 원문이 언급. citation 은 원문 말미 References 목록에서 대응 추정 — 본문 내 인라인 인용은 아님. 팀장 확인.
F-005-005,S-005,Lafeber Vet,toxicity_food,bird,핵과 씨앗·사과씨(시안화물),,씨,,,,,,,NEVER,,시안화물 중독,,,,,"""List #1: Do NOT Feed Your Bird…"" 절",2026-07-31,,ohb,원문: 사과씨와 체리·자두·살구·복숭아 씨에 시안화물 함유. 함량 수치 없어 threshold_type 공란.
F-005-006,S-005,Lafeber Vet,toxicity_food,bird,고지방·고염분·고당분 식품,,,,,,,,,NEVER,,중대한 건강 문제,,,,,"""List #1: Do NOT Feed Your Bird…"" 절",2026-07-31,,ohb,원문 'Although not technically toxic' — 엄밀히는 독성이 아니라고 명시했으나 List #1(절대 급여 금지)에 배치되어 NEVER.
F-005-007,S-005,Lafeber Vet,toxicity_food,bird,자일리톨(무설탕 캔디),,,,,,,,,NEVER,,저혈당|간 손상,,,,,"""List #1: Do NOT Feed Your Bird…"" 절",2026-07-31,,ohb,원문이 제시한 근거는 개(dogs)에서의 보고뿐 — 조류 직접 근거 아님. 그럼에도 List #1 에 배치.
F-005-008,S-005,Lafeber Vet,toxicity_food,bird,유제품(유당),,,,,,,,,CAUTION,,설사,설사,,,,"""List #2: PROBABLY Should Not Be Fed to Your Bird…"" 절",2026-07-31,,ohb,List #2(권장하지 않으나 사고 없이 급여되기도 함) 항목. 원문: 검사된 조류 종은 유당을 소화하지 못하며 식이 내 유제품 비율이 늘수록 설사 발생.
F-005-009,S-005,Lafeber Vet,toxicity_food,bird,곰팡이 핀 땅콩·곡물(진균 독소),,,,,,,,,CAUTION,,,,,,,"""List #3: Can Be Fed to Your Bird with CAUTION"" 절",2026-07-31,,ohb,"원문: 곰팡이 핀 땅콩·땅콩 제품, 옥수수 등 곡물이 독소 생성 진균에 오염될 수 있음. 독소명(아플라톡신) 은 원문에 없어 미기재."
F-005-010,S-005,Lafeber Vet,toxicity_plant,bird,가지과 식물체(녹색 토마토·감자·고추·가지),,잎|줄기(식물체),,,,,,,CAUTION,,,,,,,"""List #3: Can Be Fed to Your Bird with CAUTION"" 절",2026-07-31,,ohb,원문: 열매는 먹을 수 있으나 식물체 자체는 독성. 열매 급여 가부와 식물체 독성이 갈리므로 CAUTION 으로 기재.
F-005-011,S-005,Lafeber Vet,toxicity_plant,bird,대황 잎(옥살산 결정),,잎,,,,,,,CAUTION,,신장 문제,,,,,"""List #3: Can Be Fed to Your Bird with CAUTION"" 절",2026-07-31,,ohb,
F-005-012,S-005,Lafeber Vet,nutrition,bird,그릿(grit),,,,,,,,,CAUTION,,장 폐색 가능,,,,,"""List #3: Can Be Fed to Your Bird with CAUTION"" 절",2026-07-31,,ohb,"원문: 비둘기·집비둘기처럼 씨앗을 통째 삼키는 종에는 소화에 도움이 되나, 껍질을 까는 앵무류에는 필수가 아님. 아픈 새가 그릿을 과식해 장 폐색으로 이어질 수 있음."
F-005-013,S-005,Lafeber Vet,toxicity_food,bird,거짓 곰보버섯(Gyromitra),Gyromitra,,,,,,,,NEVER,,사망 가능,,,,,"""A special note on mushrooms"" 절",2026-07-31,"Brozen R. Gyromitra toxin toxicity. Medscape. Nov 17, 2011",ohb,원문: 사람이 먹을 수 있는 버섯은 반려동물에게도 안전하다고 보나 거짓 곰보버섯은 절대 급여 금지. 가열해도 독성이 완전히 없어지지 않음. citation 은 원문 말미 References 목록에서 대응 추정 — 본문 내 인라인 인용은 아님. 팀장 확인.
F-007-001,S-007,ASPCA,toxicity_food,bird,아보카도(퍼신),,껍질|과육,,,,,,,NEVER,CALL_NOW,심장 손상|사망,,,,,"""Avocados and Fireflies"" 절",2026-07-31,,ohb,원문 'Avocados are deadly for birds'. 원문 말미 문서 전체 지시: '중독물 섭취가 의심되면 즉시 수의사 또는 ASPCA APCC(888-426-4435)에 연락' — 항목별 지시가 아닌 문서 단위 지시라 triage_level 부여. 팀장 확인.
F-007-002,S-007,ASPCA,emergency,bird,PTFE(테플론) 과열 흄,,,,,,,,,,CALL_NOW,폐 울혈|간 부전|사망,,,,,"""Airborne Toxins"" 절",2026-07-31,,ohb,원문: 과열 시 소형조류를 수 분 내에 폐사시키며 일부 PTFE 제품은 상온에서도 가스를 방출. 조류는 기낭 호흡 구조상 흡입 독소에 더 오래 노출됨. doc_type 6종에 '생활용품/흡입 독성'이 없어 emergency 로 분류 — 팀장 확인 필요. 원문 말미 문서 전체 지시: '중독물 섭취가 의심되면 즉시 수의사 또는 ASPCA APCC(888-426-4435)에 연락' — 항목별 지시가 아닌 문서 단위 지시라 triage_level 부여. 팀장 확인.
F-007-003,S-007,ASPCA,toxicity_plant,bird,아잘레아(그레이아노톡신),,,,,,,,,,,위장관 증상|심장 손상,,,,,"""Plants"" 절",2026-07-31,,ohb,원문: 그레이아노톡신이 체내 나트륨 채널을 방해. 해독제가 없고 대증치료뿐이므로 접근 자체를 차단하라고 지시. 원문은 조류·파충류·양서류를 함께 다루나 본 행은 조류 기준으로 기재. 원문 말미 문서 전체 지시: '중독물 섭취가 의심되면 즉시 수의사 또는 ASPCA APCC(888-426-4435)에 연락' — 항목별 지시가 아닌 문서 단위 지시라 triage_level 부여. 팀장 확인.
F-007-004,S-007,ASPCA,toxicity_plant,bird,"월계수(laurel, 그레이아노톡신)",,,,,,,,,,,위장관 증상|심장 손상,,,,,"""Plants"" 절",2026-07-31,,ohb,아잘레아·로도덴드론과 동일 독소로 원문에 나란히 기술. 해독제 없음.
F-007-005,S-007,ASPCA,toxicity_plant,bird,로도덴드론(그레이아노톡신),,,,,,,,,,,위장관 증상|심장 손상,,,,,"""Plants"" 절",2026-07-31,,ohb,아잘레아·월계수와 동일 독소로 원문에 나란히 기술. 해독제 없음.
F-007-006,S-007,ASPCA,toxicity_plant,bird,"주목(yew, 탁신)",,,,,,,,,,,심장 손상,,,,,"""Plants"" 절",2026-07-31,,ohb,원문: taxine 으로 인한 심장 손상. 해독제 없이 대증치료.
F-007-007,S-007,ASPCA,toxicity_plant,bird,피마자씨(castor bean),,씨,,,,,,,,,,,,,,"""Plants"" 절",2026-07-31,,ohb,원문은 '주의할 식물'로 이름만 나열하고 병태·증상은 서술하지 않음 — effect·signs 공란.
F-007-008,S-007,ASPCA,toxicity_plant,bird,소철(sago palm),,,,,,,,,,,,,,,,"""Plants"" 절",2026-07-31,,ohb,원문은 '주의할 식물'로 이름만 나열하고 병태·증상은 서술하지 않음 — effect·signs 공란.
F-007-009,S-007,ASPCA,toxicity_plant,bird,아이비(ivy) 일부 종,,,,,,,,,,,,,,,,"""Plants"" 절",2026-07-31,,ohb,원문 'some forms of ivy' — 어떤 종인지 특정하지 않음. 범위가 모호하므로 팀장 확인.
F-071-001,S-071,AAV 미국조류수의사회,emergency,bird,납(lead) 중독,,,,,,,,,,CALL_NOW,중금속 중독|사망,구토(토출)|무기력|쇠약|적색뇨|발작|근육경련|마비,,,,"""Don't Let Your Bird Chew on Household Items"" 절 — ""Lead"" 항목",2026-07-31,,ohb,"원문 가정 내 납 노출원: 스테인드글라스, 납 땜, 오래된 집의 페인트, 커튼 추, 모조 장신구, 낚시 봉돌, 오래된 베네치안 블라인드·리놀륨, 조악한 새 장난감. 납은 단맛이 나 새가 잘 삼킨다고 원문이 설명. doc_type 6종에 '생활용품 독성'이 없어 emergency 로 분류. 원문 'seek help immediately from an avian veterinarian' — 지침 대응표상 '수의사에게 연락'과 '즉시 응급실'의 중간 표현이라 CALL_NOW 로 판정. 팀장 확인."
F-071-002,S-071,AAV 미국조류수의사회,emergency,bird,아연(zinc) 중독,,,,,,,,,,CALL_NOW,중금속 중독,무기력|쇠약|설사|구토(토출)|음수량 증가,,,,"""Don't Let Your Bird Chew on Household Items"" 절 — ""Zinc"" 항목",2026-07-31,,ohb,"원문 노출원: 아연도금 철망 케이지, 금속 부속, 1982년 이후 주조된 미국 페니 동전. 원문 'seek help immediately from an avian veterinarian' — 지침 대응표상 '수의사에게 연락'과 '즉시 응급실'의 중간 표현이라 CALL_NOW 로 판정. 팀장 확인."
F-071-003,S-071,AAV 미국조류수의사회,emergency,bird,니코틴(담배·전자담배·니코틴 껌/패치),,,,,,,,,,CALL_NOW,니코틴 중독,떨림|구토|설사|발작|혼수,,,,"""Don't Let Your Bird Chew on Household Items"" 절 — ""Tobacco and Marijuana"" 항목",2026-07-31,,ohb,원문: 니코틴 껌 같은 식용 제품은 새에게도 기호성이 있어 특히 위험. 원문 'seek help immediately from an avian veterinarian' — 지침 대응표상 '수의사에게 연락'과 '즉시 응급실'의 중간 표현이라 CALL_NOW 로 판정. 팀장 확인.
F-071-004,S-071,AAV 미국조류수의사회,emergency,bird,대마초(마리화나),,,,,,,,,,CALL_NOW,마리화나 중독,침울|쇠약|균형 상실|발작,,,,"""Don't Let Your Bird Chew on Household Items"" 절 — ""Tobacco and Marijuana"" 항목",2026-07-31,,ohb,원문: 마리화나 성분이 든 식품(edible)은 기호성 때문에 특히 주의. 원문 'seek help immediately from an avian veterinarian' — 지침 대응표상 '수의사에게 연락'과 '즉시 응급실'의 중간 표현이라 CALL_NOW 로 판정. 팀장 확인.
F-071-005,S-071,AAV 미국조류수의사회,emergency,bird,PTFE(폴리테트라플루오로에틸렌) 과열 흄,,,,,,,,,,EMERGENCY,흡입 독성|사망,호흡곤란|운동실조|쇠약|혼수,,,,"""Avoid Toxic Fumes"" 절 — ""Polytetrafluoroethylene (PTFE)"" 항목",2026-07-31,,ohb,"⚠️ 원문에 분해 임계 온도 536°F (280°C) 가 명시되어 있음 — 체중당 임계치가 아닌 온도값이므로 조류 특칙(D-09)에 따라 dose 를 비우고 여기에 보존한다. 팀장 확인. 같은 그룹 S-074 는 530°F(280°C), S-078 은 260°C(500°F)로 기재 — 세 자료 간 불일치. 원문 노출원: 논스틱 조리기구, 에어프라이어, 다리미, 다리미판 커버, 자가세척 오븐, 히트램프. 원문 'Once birds are showing symptoms, seek emergency medical treatment immediately' 및 '신속히 치료해도 흡입한 새는 흔히 사망' → EMERGENCY 로 판정. 팀장 확인."
F-071-006,S-071,AAV 미국조류수의사회,emergency,bird,연기(담배·마리화나·매연·자가세척 오븐·조리 연기),,,,,,,,,,,흡입 독성,충혈된 눈|부비동 염증|호흡곤란|피부 갈라짐·자극,수 시간,,,"""Avoid Toxic Fumes"" 절 — ""Smoke"" 항목",2026-07-31,,ohb,원문: 만성 노출 개체가 가장 큰 영향을 받으며 장기 노출 시 호흡기 영구 손상·심혈관 질환. 일산화탄소·시안화수소·산성 흄·미세입자가 PTFE 와 유사한 증상을 유발하고 증상 발현까지 수 시간 걸릴 수 있음. 니코틴 제품 섭취는 급속히 치명적일 수 있다고 원문이 별도로 경고. 행동 지시 문구가 없어 triage_level 공란.
F-071-007,S-071,AAV 미국조류수의사회,toxicity_plant,bird,크라운 베치,Coronilla varia,,,,,,,,,CALL_NOW,,,,,,"""Don't Let Your Bird Chew on Household Items"" 절 — ""Common Plants"" 항목",2026-07-31,,ohb,원문: 이 식물을 먹고 중독된 새의 보고가 있음(reports of birds being poisoned). 구체 증상은 미기재. 원문 'seek help immediately from an avian veterinarian' — 지침 대응표상 '수의사에게 연락'과 '즉시 응급실'의 중간 표현이라 CALL_NOW 로 판정. 팀장 확인.
F-071-008,S-071,AAV 미국조류수의사회,toxicity_plant,bird,로도덴드론(진달래속),Rhododendron species,,,,,,,,,CALL_NOW,,,,,,"""Don't Let Your Bird Chew on Household Items"" 절 — ""Common Plants"" 항목",2026-07-31,,ohb,원문: 조류 중독 보고 존재. 구체 증상은 미기재. 원문 'seek help immediately from an avian veterinarian' — 지침 대응표상 '수의사에게 연락'과 '즉시 응급실'의 중간 표현이라 CALL_NOW 로 판정. 팀장 확인.
F-071-009,S-071,AAV 미국조류수의사회,toxicity_plant,bird,칼랑코에,Kalanchoe species,,,,,,,,,CALL_NOW,,,,,,"""Don't Let Your Bird Chew on Household Items"" 절 — ""Common Plants"" 항목",2026-07-31,,ohb,원문: 조류 중독 보고 존재. 구체 증상은 미기재. 원문 'seek help immediately from an avian veterinarian' — 지침 대응표상 '수의사에게 연락'과 '즉시 응급실'의 중간 표현이라 CALL_NOW 로 판정. 팀장 확인.
F-071-010,S-071,AAV 미국조류수의사회,toxicity_plant,bird,협죽도(oleander),,,,,,,,,,,심장 손상,,,,,"""Don't Let Your Bird Chew on Household Items"" 절 — ""Common Plants"" 항목",2026-07-31,,ohb,원문은 협죽도·주목·은방울꽃·디기탈리스를 '심장에 손상을 주는 식물'로 묶어 나열. 개별 증상 서술은 없음.
F-071-011,S-071,AAV 미국조류수의사회,toxicity_plant,bird,도토리·참나무 잎(타닌),,열매(도토리)|잎,,,,,,,,,간 손상,,,,,"""Don't Let Your Bird Chew on Household Items"" 절 — ""Common Plants"" 항목",2026-07-31,,ohb,
F-071-012,S-071,AAV 미국조류수의사회,toxicity_food,bird,초콜릿·카페인,,,,,,,,,NEVER,,심장 부정맥,심장 부정맥|불안|발작,,,,"""Be Careful with Human Food"" 절",2026-07-31,,ohb,
F-071-013,S-071,AAV 미국조류수의사회,toxicity_food,bird,아보카도,,,,,,,,,NEVER,,폐수종|심부전,,,,,"""Be Careful with Human Food"" 절",2026-07-31,,ohb,원문 'toxic to many birds' — 모든 조류라고 단정하지 않음.
F-071-014,S-071,AAV 미국조류수의사회,toxicity_food,bird,양파·마늘(Allium),,,,,,,,,NEVER,,빈혈|간 손상,,,,,"""Be Careful with Human Food"" 절",2026-07-31,,ohb,원문 'toxic to many species' — 종 범위를 단정하지 않음.
F-071-015,S-071,AAV 미국조류수의사회,toxicity_food,bird,자일리톨,,,,,,,,,NEVER,,치명적 저혈당,,,,,"""Be Careful with Human Food"" 절",2026-07-31,,ohb,"원문: 새·개 등에서 치명적인 저혈당을 유발할 수 있음. 같은 절에서 염분 중독(salt toxicity)과 Prunus·Malus 씨앗의 시안화물도 함께 경고하나, 사과씨는 '가끔 한 알은 해롭지 않다'고 기술 — S-005·S-091 의 '절대 금지' 서술과 강도가 다름. 팀장 확인."
F-074-001,S-074,Companion Pet Magazine (상업),emergency,bird,PTFE(테플론) 과열 흄,,,,,,,,,,CALL_NOW,중증 호흡곤란|사망,개구호흡|꼬리 흔들림(tail bobbing)|거친 호흡|혼수|횃대에서 떨어짐,,,,"""Why are nonstick pans dangerous to birds?"" 절 · ""Symptoms of Teflon toxicity in birds"" 절",2026-07-31,,ohb,"⚠️ 원문에 임계 온도 530°F (280° Celsius) 가 명시 — 체중당 임계치가 아니므로 조류 특칙(D-09)에 따라 dose 공란, 값은 여기에 보존. 팀장 확인. S-071 은 같은 임계를 536°F(280°C), S-078 은 260°C(500°F)로 기재하여 화씨/섭씨 환산이 서로 맞지 않음(530°F≒277°C, 536°F=280°C, 500°F≒260°C) — 자료 간 불일치. 원문: 냄비가 빈 채로 가열되는 상황이 대표적. 치명적인 경우가 많아 진료 기회조차 없는 경우가 흔함. 소형조류일수록 더 적은 가스량으로 더 빨리 발현. triage 는 원문 'Call your veterinary clinic immediately to let them know you're on your way' → CALL_NOW. 출처가 상업 매거진(tier 3)임에 유의."
F-074-002,S-074,Companion Pet Magazine (상업),emergency,bird,논스틱(PTFE) 코팅 조리기구·가전,,,,,,,,,,,,,,,,"""Do you have toxic cookware in your home?"" 절",2026-07-31,,ohb,"원문 열거: 쿠키시트·머핀팬·케이크팬·빵틀·번트팬 등 베이크웨어, 소스팬, 프라이팬, 로스팅팬, 수란기, 논스틱 코팅 오븐·그릴판·전기팬·공간히터, 가스레인지 드립팬. 테플론 브랜드가 아니어도 PTFE 함유면 독성. 물질이 아니라 노출원 목록이라 effect·signs 공란."
F-074-003,S-074,Companion Pet Magazine (상업),emergency,bird,테플론 중독 의심 시 응급 조치,,,,,,,,,,CALL_NOW,,,,호흡곤란 징후가 보임|테플론 노출이 의심됨,,"""What to do if you suspect your bird has been poisoned"" 절",2026-07-31,,ohb,원문 조치 순서: ① 문제 조리기구를 즉시 집 밖으로 치우고 열원을 끈다 ② 집안 모든 창문을 연다 ③ 실링팬·바닥팬·환풍기·다락팬을 가동한다 ④ 동물병원에 즉시 전화해 테플론 중독 의심 조류를 데려간다고 알린다. 생존 시 병원에서 산소방·항생제·이뇨제 처치. 물질이 아닌 '상황' 행(지침 §분량과 우선순위).
F-074-004,S-074,Companion Pet Magazine (상업),emergency,bird,마모·손상된 논스틱 조리기구,,,,,,,,,,,,,,,,"""Prevent Teflon toxicity in your home"" 절",2026-07-31,,ohb,"원문 예방 지침: 조리기구를 가스레인지에 방치하지 말 것(과열이 주원인), 마모·손상 징후가 보이면 폐기, 새장을 주방에서 떨어진 곳으로 옮길 것. 완전 제거가 최선이라고 원문이 명시."
F-078-001,S-078,Zubair Khalid DVM (개인 사이트),emergency,bird,PTFE·PFOA 논스틱 조리기구 흄,,,,,,,,,,,급성 폐출혈|폐수종|수 분 내 사망,,,,,"""Cookware: The Hidden Danger of Non-Stick Surfaces"" 절",2026-07-31,Merck Veterinary Manual,ohb,"⚠️ 원문에 임계 온도 260°C (500°F) 가 명시 — 체중당 임계치가 아니므로 조류 특칙(D-09)에 따라 dose 공란, 값은 여기에 보존. 팀장 확인. S-071(536°F/280°C)·S-074(530°F/280°C)와 불일치. 원문: 코넬 수의대는 자가세척 사이클 중과 이후 24시간 동안 새를 완전히 격리하라고 권고. 행동 지시 문구가 없어 triage_level 공란. ⚠️ 본 자료는 AI 생성이 의심되는 개인 사이트(01b 판정 유지) — 단독 근거로 사용 금지, 교차검증 필요."
F-078-002,S-078,Zubair Khalid DVM (개인 사이트),emergency,bird,에어로졸 제품(헤어스프레이·데오도런트·방향제·스프레이 세정제·살충제·스프레이 페인트),,,,,,,,,,,육아종성 폐렴(만성 노출),호흡곤란|개구호흡|꼬리 흔들림|무기력|급성 허탈,,,,"""Aerosols: Invisible Threats in a Can"" 절",2026-07-31,VCA Animal Hospitals,ohb,"원문 대체 지침: 에어로졸 전면 배제, 펌프 스프레이·롤온·크림·고형 스틱으로 전환. 불가피하면 새를 문·창을 닫은 별도 방에 격리하고 사용 후 30분 대기 후 충분히 환기한 뒤 복귀시킬 것(수치는 절차 시간이지 용량이 아님). ⚠️ 본 자료는 AI 생성이 의심되는 개인 사이트(01b 판정 유지) — 단독 근거로 사용 금지, 교차검증 필요."
F-078-003,S-078,Zubair Khalid DVM (개인 사이트),emergency,bird,표백제(차아염소산나트륨),,,,,,,,,,,중증 호흡기 자극|사망 가능,,,,,"""Cleaners: Choosing Bird-Safe Disinfectants and Detergents"" 절",2026-07-31,CVMA,ohb,"원문: CVMA 는 케이지 소독에 한해 1:32 희석 표백제만 사용하고 별도 공간에서 충분히 헹구라고 권고 (희석 배수는 용량 임계치가 아니므로 dose 공란, 값은 여기에 보존). ⚠️ 본 자료는 AI 생성이 의심되는 개인 사이트(01b 판정 유지) — 단독 근거로 사용 금지, 교차검증 필요."
F-078-004,S-078,Zubair Khalid DVM (개인 사이트),emergency,bird,암모니아,,,,,,,,,,,호흡상피 손상|각막 화상,,,,,"""Toxic Ingredients to Avoid"" 항목",2026-07-31,,ohb,"⚠️ 본 자료는 AI 생성이 의심되는 개인 사이트(01b 판정 유지) — 단독 근거로 사용 금지, 교차검증 필요."
F-078-005,S-078,Zubair Khalid DVM (개인 사이트),emergency,bird,페놀계 세정제(라이솔·파인솔),,,,,,,,,,,간 부전|신부전,,,,,"""Toxic Ingredients to Avoid"" 항목",2026-07-31,,ohb,"원문: 조류는 페놀을 피부와 호흡기로 흡수. ⚠️ 본 자료는 AI 생성이 의심되는 개인 사이트(01b 판정 유지) — 단독 근거로 사용 금지, 교차검증 필요."
F-078-006,S-078,Zubair Khalid DVM (개인 사이트),emergency,bird,향초·왁스멜트·인센스·플러그인 방향제(VOC),,,,,,,,,,,호흡기 영향,,,,,"""Candles and Air Fresheners: Scented Hazards"" 절",2026-07-31,AVMA,ohb,"원문: '천연'·'소이' 표방 제품이라도 합성 향료나 납심지가 있으면 유해 물질 방출. ⚠️ 본 자료는 AI 생성이 의심되는 개인 사이트(01b 판정 유지) — 단독 근거로 사용 금지, 교차검증 필요."
F-078-007,S-078,Zubair Khalid DVM (개인 사이트),emergency,bird,에센셜 오일(티트리·유칼립투스·페퍼민트·시트러스),,,,,,,,,,,,,,,,"""Candles and Air Fresheners: Scented Hazards"" 절 — Note",2026-07-31,FVE,ohb,"원문: 다수의 에센셜 오일이 조류에 독성이므로 전면 회피. 다만 같은 절에서 라벤더·캐모마일은 '조류 안전 오일'로 예시하면서 새와 떨어뜨려 두라고 하여 서술이 상충 — 팀장 확인. FVE 는 향 제품이 없는 방에서 사육할 것을 권고. ⚠️ 본 자료는 AI 생성이 의심되는 개인 사이트(01b 판정 유지) — 단독 근거로 사용 금지, 교차검증 필요."
F-078-008,S-078,Zubair Khalid DVM (개인 사이트),emergency,bird,담배 연기(실내 흡연),,,,,,,,,,,만성 호흡기 질환|종양,깃털 뽑기|호흡기 질환,,,,"""Air Quality: The Foundation of Avian Health"" 절",2026-07-31,,ohb,"원문: 실내 흡연 금지, 옷에 남은 잔류 연기도 위험. ⚠️ 본 자료는 AI 생성이 의심되는 개인 사이트(01b 판정 유지) — 단독 근거로 사용 금지, 교차검증 필요."
